roundNumber,userWord,aiWord,correctGuess
1,ocean,ship,sail
2,sail,wind,gust
3,gust,storm,hurricane
1,tree,fruit,apple
2,apple,pie,dessert
3,dessert,sweet,sugar
1,car,road,drive
2,drive,speed,race
3,race,track,finish
1,moon,night,stars
2,stars,space,galaxy
3,galaxy,cosmos,universe
1,teacher,school,lesson
2,lesson,learn,study
3,study,exam,test
1,flower,garden,rose
2,rose,thorns,sharp
3,sharp,knife,blade
1,coffee,morning,awake
2,awake,alert,focus
3,focus,work,productivity
1,rain,umbrella,wet
2,wet,puddle,splash
3,splash,water,liquid
1,doctor,hospital,patient
2,patient,care,heal
3,heal,medicine,cure
1,dog,bark,sound
2,sound,noise,loud
3,loud,music,concert
1,bread,butter,spread
2,spread,jam,fruit
3,fruit,sweet,juice
1,pen,paper,write
2,write,story,book
3,book,library,read
1,airplane,sky,flight
2,flight,pilot,cockpit
3,cockpit,controls,navigate
1,snow,cold,winter
2,winter,ice,freeze
3,freeze,solid,hard
1,painting,art,gallery
2,gallery,exhibit,museum
3,museum,history,ancient
1,football,goal,score
2,score,win,victory
3,victory,celebrate,cheer
1,fire,heat,flame
2,flame,burn,ash
3,ash,gray,dust
1,fish,ocean,swim
2,swim,water,current
3,current,flow,river
1,mountain,peak,summit
2,summit,climb,hike
3,hike,trail,path
1,movie,cinema,screen
2,screen,view,watch
3,watch,time,clock
1,bird,sky,fly
2,fly,wing,feather
3,feather,light,float
1,train,track,rail
2,rail,station,platform
3,platform,board,depart
1,camera,photo,picture
2,picture,frame,hang
3,hang,wall,decorate
1,computer,internet,browse
2,browse,search,find
3,find,discover,explore
1,chair,table,furniture
2,furniture,wood,carpenter
3,carpenter,tool,hammer
